#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -81340663.3308  -1470314.9365   0.0000          0.0000          0.0000          -79870348.3943  -64566752.8532  2576.3794       4222.0188       1033.1438       0.06092960      0.09139441      0.09139441      0.18278881      0.01523240      0.18278881      0.18278881      0.19268274      
200000          -82530705.8529  -2445418.9775   0.0000          0.0000          0.0000          -80085286.8754  -64780190.4467  2645.6747       4668.3833       1269.6863       0.05484076      0.08226114      0.08226114      0.16452227      0.01371019      0.16452227      0.16452227      0.27335997      
300000          -82876456.1551  -2714373.7567   0.0000          0.0000          0.0000          -80162082.3985  -64856849.3355  2845.4412       4764.0138       1320.3638       0.05373774      0.08060661      0.08060661      0.16121322      0.01343443      0.16121322      0.16121322      0.28797495      
400000          -83036439.2569  -2837109.1288   0.0000          0.0000          0.0000          -80199330.1281  -64893930.9707  2825.5694       4805.5813       1342.3917       0.05327142      0.07990713      0.07990713      0.15981426      0.01331785      0.15981426      0.15981426      0.29415371      
500000          -83089232.8721  -2859704.8498   0.0000          0.0000          0.0000          -80229528.0223  -64924132.8440  2863.5734       4815.2538       1347.5175       0.05316450      0.07974675      0.07974675      0.15949350      0.01329112      0.15949350      0.15949350      0.29557039      
600000          -83164655.9754  -2911767.0765   0.0000          0.0000          0.0000          -80252888.8990  -64947464.1371  2897.3825       4833.2748       1357.0674       0.05296620      0.07944930      0.07944930      0.15889860      0.01324155      0.15889860      0.15889860      0.29819784      
700000          -83218912.0204  -2963563.7942   0.0000          0.0000          0.0000          -80255348.2262  -64949907.9271  2933.3453       4847.9150       1364.8257       0.05280630      0.07920945      0.07920945      0.15841890      0.01320157      0.15841890      0.15841890      0.30031653      
800000          -83232779.5067  -2966040.1433   0.0000          0.0000          0.0000          -80266739.3635  -64961250.0019  2892.0103       4850.1117       1365.9898       0.05278242      0.07917363      0.07917363      0.15834725      0.01319560      0.15834725      0.15834725      0.30063298      
900000          -83221560.8207  -2950214.4655   0.0000          0.0000          0.0000          -80271346.3551  -64965907.1844  2917.6310       4843.1270       1362.2884       0.05285845      0.07928767      0.07928767      0.15857535      0.01321461      0.15857535      0.15857535      0.29962555      
1000000         -83257784.9440  -2979570.4055   0.0000          0.0000          0.0000          -80278214.5385  -64972567.9488  2744.1162       4852.7651       1367.3959       0.05275351      0.07913026      0.07913026      0.15826052      0.01318838      0.15826052      0.15826052      0.30101604      
1100000         -83293869.2528  -3006813.7082   0.0000          0.0000          0.0000          -80287055.5446  -64981372.7476  2737.1088       4861.0660       1371.7948       0.05266340      0.07899510      0.07899510      0.15799020      0.01316585      0.15799020      0.15799020      0.30220994      
1200000         -83303096.6420  -3021160.9980   0.0000          0.0000          0.0000          -80281935.6440  -64976320.5000  2821.3243       4865.7743       1374.2899       0.05261243      0.07891865      0.07891865      0.15783729      0.01315311      0.15783729      0.15783729      0.30288529      
1300000         -83302979.5347  -3017824.7235   0.0000          0.0000          0.0000          -80285154.8112  -64979493.2924  2768.6137       4863.9731       1373.3354       0.05263191      0.07894787      0.07894787      0.15789574      0.01315798      0.15789574      0.15789574      0.30262715      
1400000         -83321589.0173  -3014299.4846   0.0000          0.0000          0.0000          -80307289.5327  -65001522.1046  2678.0212       4868.3274       1375.6428       0.05258487      0.07887730      0.07887730      0.15775461      0.01314622      0.15775461      0.15775461      0.30325048      
1500000         -83325165.8857  -3008477.4196   0.0000          0.0000          0.0000          -80316688.4661  -65010816.0787  2564.5798       4865.9161       1374.3650       0.05261088      0.07891633      0.07891633      0.15783265      0.01315272      0.15783265      0.15783265      0.30290577      
1600000         -83344506.0171  -3030926.3611   0.0000          0.0000          0.0000          -80313579.6561  -65007807.0717  2684.6881       4871.6884       1377.4239       0.05254855      0.07882282      0.07882282      0.15764564      0.01313714      0.15764564      0.15764564      0.30373175      
1700000         -83371237.8930  -3048279.5877   0.0000          0.0000          0.0000          -80322958.3053  -65017295.5727  2815.8546       4877.7477       1380.6349       0.05248339      0.07872509      0.07872509      0.15745018      0.01312085      0.15745018      0.15745018      0.30459506      
1800000         -83409019.9180  -3076809.0139   0.0000          0.0000          0.0000          -80332210.9040  -65026593.6714  2899.3951       4888.5616       1386.3656       0.05236722      0.07855083      0.07855083      0.15710165      0.01309180      0.15710165      0.15710165      0.30613438      
1900000         -83378351.7729  -3058460.4649   0.0000          0.0000          0.0000          -80319891.3080  -65014228.2877  2827.6696       4881.1881       1382.4581       0.05244632      0.07866948      0.07866948      0.15733895      0.01311158      0.15733895      0.15733895      0.30508630      
2000000         -83402391.2999  -3078179.3451   0.0000          0.0000          0.0000          -80324211.9548  -65018550.6894  2850.8961       4887.2920       1385.6928       0.05238077      0.07857115      0.07857115      0.15714231      0.01309519      0.15714231      0.15714231      0.30595482      
2100000         -83419148.5212  -3101645.3565   0.0000          0.0000          0.0000          -80317503.1647  -65011692.4887  2730.9202       4895.6596       1390.1270       0.05229123      0.07843685      0.07843685      0.15687370      0.01307281      0.15687370      0.15687370      0.30714115      
2200000         -83431884.6226  -3112194.0740   0.0000          0.0000          0.0000          -80319690.5486  -65014034.5197  2895.2076       4898.4000       1391.5793       0.05226200      0.07839301      0.07839301      0.15678601      0.01306550      0.15678601      0.15678601      0.30752845      
2300000         -83462027.2112  -3130132.2662   0.0000          0.0000          0.0000          -80331894.9451  -65026217.0193  2891.3469       4903.5273       1394.2963       0.05220735      0.07831103      0.07831103      0.15662206      0.01305184      0.15662206      0.15662206      0.30825259      
2400000         -83461065.4626  -3118861.7175   0.0000          0.0000          0.0000          -80342203.7451  -65036495.4165  2856.9466       4902.3909       1393.6941       0.05221959      0.07832939      0.07832939      0.15665878      0.01305490      0.15665878      0.15665878      0.30809037      
2500000         -83467542.8864  -3134607.8486   0.0000          0.0000          0.0000          -80332935.0378  -65027124.2553  2752.2953       4901.7662       1393.3631       0.05222614      0.07833921      0.07833921      0.15667842      0.01305653      0.15667842      0.15667842      0.30800365      
2600000         -83469014.2935  -3124492.0527   0.0000          0.0000          0.0000          -80344522.2407  -65038813.2590  2853.0844       4901.4786       1393.2107       0.05222919      0.07834378      0.07834378      0.15668756      0.01305730      0.15668756      0.15668756      0.30796327      
2700000         -83474858.9033  -3126534.2996   0.0000          0.0000          0.0000          -80348324.6037  -65042829.7104  3076.1580       4904.0329       1394.5643       0.05220196      0.07830294      0.07830294      0.15660589      0.01305049      0.15660589      0.15660589      0.30832399      
2800000         -83498137.8633  -3151420.4761   0.0000          0.0000          0.0000          -80346717.3872  -65041073.4275  2954.6281       4911.8609       1398.7125       0.05211876      0.07817814      0.07817814      0.15635629      0.01302969      0.15635629      0.15635629      0.30942639      
